player,Reach R1,Reach R2,Reach R3,Title
Carlos Alcaraz,1.0,0.8133333333333334,0.6153333333333333,0.4856666666666667
Daniil Medvedev,1.0,0.772,0.6076666666666667,0.207
Holger Rune,1.0,0.659,0.214,0.14066666666666666
Stefanos Tsitsipas,1.0,0.18666666666666668,0.08866666666666667,0.052
Grigor Dimitrov,1.0,0.341,0.082,0.044
Matteo Berrettini,1.0,0.583,0.16566666666666666,0.035333333333333335
Jiri Lehecka,1.0,0.228,0.13266666666666665,0.021666666666666667
Christopher Eubanks,1.0,0.417,0.094,0.013666666666666667
