model,log_loss,brier_score,mean_pred,std_pred
Dynamic BT — MCMC,0.5588088916515008,0.18782696484416306,0.5,0.2543812137910606
Dynamic BT + Covariates — MCMC,0.5666537775424224,0.1898811500633171,0.5000577441684896,0.24451166696861584
Static BT — VI,0.5723410657518044,0.19513411681470091,0.5,0.20542255797402628
Static BT — MCMC,0.5723600437704952,0.19513183401075138,0.5,0.20724809101756314
Freq. BT — Ridge MLE,0.5727455279977021,0.19510519382758879,0.5,0.20195628575185948
